Story ID,Epic,Title,Acceptance Criteria Count,Black-box Scenario Count,File
FP-001,A,Load the public app,4,4,01_epic_A_public_app_shell_and_map_foundation.md
FP-002,A,Show default Norway station map,5,5,01_epic_A_public_app_shell_and_map_foundation.md
FP-003,A,Use station-first map behavior,3,3,01_epic_A_public_app_shell_and_map_foundation.md
FP-004,A,Zoom from clusters to stations,4,3,01_epic_A_public_app_shell_and_map_foundation.md
FP-005,A,Pan and zoom smoothly,3,3,01_epic_A_public_app_shell_and_map_foundation.md
FP-006,A,Display selected station marker,5,5,01_epic_A_public_app_shell_and_map_foundation.md
FP-007,A,Show contextual update health,2,3,01_epic_A_public_app_shell_and_map_foundation.md
FP-008,A,Preserve map usability during errors,3,3,01_epic_A_public_app_shell_and_map_foundation.md
FP-009,B,Open search,3,3,02_epic_B_search_and_discovery.md
FP-010,B,Search for Førde,3,3,02_epic_B_search_and_discovery.md
FP-011,B,Search no results,2,3,02_epic_B_search_and_discovery.md
FP-012,B,Navigate search results by keyboard,3,3,02_epic_B_search_and_discovery.md
FP-013,B,Open station from search,4,3,02_epic_B_search_and_discovery.md
FP-014,B,Open route or line from search,2,3,02_epic_B_search_and_discovery.md
FP-015,C,Open station panel,1,3,03_epic_C_station_details_and_departure_boards.md
FP-016,C,Register station watch,3,3,03_epic_C_station_details_and_departure_boards.md
FP-017,C,Show station loading state,1,3,03_epic_C_station_details_and_departure_boards.md
FP-018,C,Show fresh departures,2,3,03_epic_C_station_details_and_departure_boards.md
FP-019,C,Show empty departure state,2,3,03_epic_C_station_details_and_departure_boards.md
FP-020,C,Show stale station data,3,3,03_epic_C_station_details_and_departure_boards.md
FP-021,C,Show station error state,2,3,03_epic_C_station_details_and_departure_boards.md
FP-022,C,Retry station request,3,3,03_epic_C_station_details_and_departure_boards.md
FP-023,C,Show station-serving and nearby vehicles,2,3,03_epic_C_station_details_and_departure_boards.md
FP-024,C,Show empty station-vehicle states,4,4,03_epic_C_station_details_and_departure_boards.md
FP-025,C,Keep station data fresh while watched,3,3,03_epic_C_station_details_and_departure_boards.md
FP-026,D,Select a station vehicle,3,4,04_epic_D_vehicle_details_and_focus_mode.md
FP-027,D,Show selected vehicle details,1,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-028,D,Show recent vehicle trail,3,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-029,D,Start Focus mode,3,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-030,D,Follow vehicle movement,2,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-031,D,Show Focus mode pill,1,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-032,D,Pause Focus when user moves map,2,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-033,D,Resume Focus mode,1,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-034,D,Unfocus vehicle,3,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-035,D,Show stale vehicle state,4,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-036,D,Refresh stale vehicle position,2,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-037,D,Stop watching stale vehicle,1,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-038,D,Show lost vehicle state,1,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-039,D,Try again for lost vehicle,1,3,04_epic_D_vehicle_details_and_focus_mode.md
FP-040,E,Connect browser WebSocket,2,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-041,E,Use backend-only Entur communication,2,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-042,E,Define typed WebSocket message protocol,3,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-043,E,Watch station over WebSocket,1,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-044,E,Watch vehicle over WebSocket,1,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-045,E,Focus vehicle over WebSocket,1,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-046,E,Broadcast events to rooms,3,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-047,E,Reconnect realtime connection,5,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-048,E,Fallback to periodic refresh,6,3,05_epic_E_realtime_transport_and_message_protocol.md
FP-049,F,Configure Entur client identity,3,3,06_epic_F_entur_integration_and_data_freshness.md
FP-050,F,Fetch station departures,6,4,06_epic_F_entur_integration_and_data_freshness.md
FP-051,F,Fetch station-serving and nearby vehicles,2,3,06_epic_F_entur_integration_and_data_freshness.md
FP-052,F,Refresh focused vehicle,2,3,06_epic_F_entur_integration_and_data_freshness.md
FP-053,F,Apply global Entur rate limits,3,3,06_epic_F_entur_integration_and_data_freshness.md
FP-054,F,Handle Entur 429/backoff,4,3,06_epic_F_entur_integration_and_data_freshness.md
